"Year","season","Family","catchableTotal_Wt","catchableTotal_Num","Total_Wt","Total_Num","famCatch_Wt","famCatch_Num","famRel_Wt","famRel_Num","famERel_Wt","famERel_Num","famProp","famcatchable_Wt","famcatchable_Num","famcatchable_RelWt","famcatchable_RelNum","famcatchable_ERelWt","famcatchable_ERelNum","famcatchableProp_Wt","famcatchableProp_Num"
1968,"FALL","MACKEREL",113.358209795252,585.516767686689,992.3,1838,24.3,95,0.261290322580645,1.02150537634409,0.000906496558670472,0.00354391658739485,0.0244885619268366,10.1903225806452,39.8387096774194,0.109573361082206,0.428373222337843,0.000380143718152133,0.00148615856890752,0.0898948792421034,0.0680402541413419
1968,"FALL","BUTTERFISH",113.358209795252,585.516767686689,992.3,1838,26.3,279,0.282795698924731,3,0.000981105328931416,0.0104079234514017,0.0265040814269878,22.7719512195122,241.573170731707,0.244859690532389,2.59756097560976,0.000849493638465006,0.0090117385981649,0.200884887478755,0.412581131854064
1968,"FALL","SAND LANCE",113.358209795252,585.516767686689,992.3,1838,0.4,54,0.0043010752688172,0.580645161290323,1.49217540521888e-05,0.00201443679704549,0.000403103900030233,0.0820512820512821,11.0769230769231,0.000882271850013785,0.119106699751861,3.06087262609002e-06,0.000413217804522152,0.000723823022606688,0.0189181995943289
1968,"FALL","POLLOCK",113.358209795252,585.516767686689,992.3,1838,380.8,83,4.09462365591398,0.89247311827957,0.0142055098576838,0.00309626396582918,0.383754912828782,9.17590361445783,2,0.0986656302629874,0.021505376344086,0.000342301442353826,7.46087702609442e-05,0.0809460879016298,0.00341578603786494
1968,"FALL","HAKE",113.358209795252,585.516767686689,992.3,1838,543.7,1190,5.84623655913979,12.7956989247312,0.0202823941954377,0.0443922183052618,0.547918976116094,69.6137980920492,278.560154721558,0.748535463355367,2.99527048087697,0.00259689993442073,0.0103915152937369,0.614104600079572,0.475750943601697
1968,"SPRING","HERRING",16.537017306567,88.9845771598429,679.9,NA,8.8,250,0.103529411764706,2.94117647058824,0.000462015015488003,0.0131254265763637,0.012943079864686,2.0535152284264,55.1287013536379,0.0241590026873694,0.648572957101622,0.000107813053416622,0.00289435088746983,0.124176880894411,0.619530969446652
1968,"SPRING","SAND LANCE",16.537017306567,88.9845771598429,679.9,NA,0.4,60,0.00470588235294118,0.705882352941177,2.1000682522182e-05,0.0031501023783273,0.000588321812031181,0.0691358024691358,10.3703703703704,0.000813362381989833,0.122004357298475,3.62974759642651e-06,0.000544462139463977,0.00418066941501483,0.11654121086334
1968,"SPRING","POLLOCK",16.537017306567,88.9845771598429,679.9,NA,489.1,141,5.75411764705882,1.65882352941176,0.025678584553998,0.00740274058906914,0.719370495661127,11.7855421686747,3.39759036144578,0.138653437278526,0.0399716513111269,0.000618761073590313,0.000178379291302871,0.71267641257136,0.0381817891356914
1968,"SPRING","HAKE",16.537017306567,88.9845771598429,679.9,NA,181.6,339,2.13647058823529,3.98823529411765,0.00953430986507062,0.0177980784375492,0.267098102662156,2.62882410699681,20.0879150743888,0.0309273424352566,0.236328412639869,0.000138017751194247,0.00105464981752448,0.158966037119214,0.225746030554317
1969,"FALL","HERRING",134.305388457803,708.24947868061,2175.5,3408,31.6,183,0.343478260869565,1.98913043478261,0.00115408494941748,0.00668346663744933,0.0145253964605838,3.55708590068866,21.0450646369458,0.0386639771813984,0.228750702575497,0.000129910737397782,0.000768601023956238,0.0264850572380888,0.0297141971444164
1969,"FALL","MACKEREL",134.305388457803,708.24947868061,2175.5,3408,3.3,17,0.0358695652173913,0.184782608695652,0.000120521529527775,0.000620868485446112,0.0015168926683521,0.385714285714286,1.98701298701299,0.00419254658385093,0.0215979672501412,1.40869320227269e-05,7.25690437534417e-05,0.00287191966117929,0.0028055269319994
1969,"FALL","BUTTERFISH",134.305388457803,708.24947868061,2175.5,3408,5.5,31,0.0597826086956522,0.33695652173913,0.000200869215879625,0.00113217194404879,0.0025281544472535,4.55754475703325,25.6879795396419,0.0495385299677527,0.279217168909152,0.00016644917121483,0.00093816805593813,0.0339341913929624,0.0362696765940383
1969,"FALL","SAND LANCE",134.305388457803,708.24947868061,2175.5,3408,0,6,0,0.0652173913043478,0,0.000219130053686863,0,0,2.84210526315789,0,0.0308924485125858,0,0.000103798446483251,0,0.00401285895536756
1969,"FALL","POLLOCK",134.305388457803,708.24947868061,2175.5,3408,974.8,193,10.595652173913,2.09782608695652,0.0356013293889924,0.0070486833935941,0.448080900942312,7.01294964028777,1.38848920863309,0.0762277134813888,0.0150922740068815,0.000256124671863254,5.07099524719e-05,0.0522164428457846,0.00196045214352956
1969,"FALL","HAKE",134.305388457803,708.24947868061,2175.5,3408,1160.3,2978,12.6119565217391,32.3695652173913,0.0423761002154779,0.108761549979913,0.533348655481498,118.792093874079,655.298827045218,1.29121841167477,7.12281333744803,0.00433848631803364,0.0239326111918929,0.884492388861985,0.925237288230649
1969,"SPRING","HERRING",47.92030269037,696.868632931878,967.6,NA,25.1,176,0.278888888888889,1.95555555555556,0.00106149031548676,0.0074431193436522,0.0259404712691195,4.57641798872427,31.8419766035867,0.050849088763603,0.353799740039852,0.000193538779866543,0.00134661154544475,0.095500606878344,0.0456929399585981
1969,"SPRING","BUTTERFISH",47.92030269037,696.868632931878,967.6,NA,0,1,0,0.0111111111111111,0,4.22904508162057e-05,0,0,0.405940594059406,0,0.00451045104510451,0,1.71674107273706e-05,0,0.000582520972929324
1969,"SPRING","SAND LANCE",47.92030269037,696.868632931878,967.6,NA,36.3,1096,0.403333333333333,12.1777777777778,0.00153514336462827,0.0463503340945614,0.0375155022736668,17.1947368421053,519.157894736842,0.191052631578947,5.76842105263158,0.000727173172718653,0.0219554214132133,0.358819453900501,0.74498674528172
