"Year","Coast","Subregion","Common Name","Pounds","Live Pounds","Dollars","% Display"
"2019","US Atlantic Coast","North Atlantic","POLLOCK","6980761.77","6980761.77","5853992.96","100%"
"2017","US Atlantic Coast","North Atlantic","POLLOCK","7164441.08","7164441.08","6154788.97","100%"
"2002","US Atlantic Coast","North Atlantic","POLLOCK","7891427","7891427","6198250","100%"
"2001","US Atlantic Coast","North Atlantic","POLLOCK","9056786","9056786","6200459.41","100%"
"2016","US Atlantic Coast","North Atlantic","POLLOCK","5691806.28","5691806.28","6282371.86","100%"
"1984","US Atlantic Coast","North Atlantic","POLLOCK","39655600","39655600","6461722","100%"
"1982","US Atlantic Coast","North Atlantic","POLLOCK","31632100","31632100","6472434","100%"
"1979","US Atlantic Coast","North Atlantic","POLLOCK","34468900","34468900","6611558","100%"
"1978","US Atlantic Coast","North Atlantic","POLLOCK","39541900","39541900","6651242","100%"
"1994","US Atlantic Coast","North Atlantic","POLLOCK","8265455","8265455","6749380","100%"
"1995","US Atlantic Coast","North Atlantic","POLLOCK","7386118","7386118","6751921","100%"
"1985","US Atlantic Coast","North Atlantic","POLLOCK","43560400","43560400","6988507","100%"
"2000","US Atlantic Coast","North Atlantic","POLLOCK","8911605","8911605","7027531.34","100%"
"1980","US Atlantic Coast","North Atlantic","POLLOCK","39447100","39447100","7134856","100%"
"2015","US Atlantic Coast","North Atlantic","POLLOCK","6714412.21","6714412.21","7518240.09","100%"
"2005","US Atlantic Coast","North Atlantic","POLLOCK","14350278","14350278","7877070.72","100%"
"1998","US Atlantic Coast","North Atlantic","POLLOCK","12278005","12278005","8082370","100%"
"1993","US Atlantic Coast","North Atlantic","POLLOCK","12497299","12497299","8355103","100%"
"1999","US Atlantic Coast","North Atlantic","POLLOCK","10114929","10114929","8428455","100%"
"2007","US Atlantic Coast","North Atlantic","POLLOCK","18454686.54","18454686.54","8517190.87","100%"
"1981","US Atlantic Coast","North Atlantic","POLLOCK","39880100","39880100","8734933","100%"
"2010","US Atlantic Coast","North Atlantic","POLLOCK","11368402.88","11368402.88","9527563.76","100%"
"1991","US Atlantic Coast","North Atlantic","POLLOCK","17383149","17383149","9921661","100%"
"1989","US Atlantic Coast","North Atlantic","POLLOCK","23294100","23294100","9930382","100%"
"2009","US Atlantic Coast","North Atlantic","POLLOCK","16542414.92","16542414.92","10028466.8383","100%"
"1992","US Atlantic Coast","North Atlantic","POLLOCK","15818266","15818266","10529006","100%"
"1990","US Atlantic Coast","North Atlantic","POLLOCK","21098804","21098804","10557015","100%"
"2014","US Atlantic Coast","North Atlantic","POLLOCK","10017438.99","10017438.99","10774080.4","100%"
"1988","US Atlantic Coast","North Atlantic","POLLOCK","33032700","33032700","11041585","100%"
"2008","US Atlantic Coast","North Atlantic","POLLOCK","22026410.77","22026410.77","11300245.03","100%"
"2013","US Atlantic Coast","North Atlantic","POLLOCK","11147908.34","11147908.34","11391665.09","100%"
"2011","US Atlantic Coast","North Atlantic","POLLOCK","15856332.07","15856332.07","12290946.45","100%"
"2012","US Atlantic Coast","North Atlantic","POLLOCK","14861837.5","14861837.5","13182805.952","100%"
"1986","US Atlantic Coast","North Atlantic","POLLOCK","54287100","54287100","14000537","100%"
"1987","US Atlantic Coast","North Atlantic","POLLOCK","45554400","45554400","17859067","100%"
"1961","US Atlantic Coast","North Atlantic","POLLOCK","21399500","21399500","*","100%"
"1960","US Atlantic Coast","North Atlantic","POLLOCK","22326800","22326800","*","100%"
"1959","US Atlantic Coast","North Atlantic","POLLOCK","24534900","24534900","*","100%"
"1958","US Atlantic Coast","North Atlantic","POLLOCK","32886700","32886700","*","100%"
"1957","US Atlantic Coast","North Atlantic","POLLOCK","22030700","22030700","*","100%"
"1956","US Atlantic Coast","North Atlantic","POLLOCK","23017500","23017500","*","100%"
"1955","US Atlantic Coast","North Atlantic","POLLOCK","23156800","23156800","*","100%"
"1954","US Atlantic Coast","North Atlantic","POLLOCK","20399500","20399500","*","100%"
"1953","US Atlantic Coast","North Atlantic","POLLOCK","23900300","23900300","*","100%"
"1952","US Atlantic Coast","North Atlantic","POLLOCK","26953100","26953100","*","100%"
"1951","US Atlantic Coast","North Atlantic","POLLOCK","22710500","22710500","*","100%"
"1950","US Atlantic Coast","North Atlantic","POLLOCK","25607100","25607100","*","100%"
"1951","US Atlantic Coast","North Atlantic","PILOTFISH","200","200","*","100%"
"2019","US Atlantic Coast","North Atlantic","PERMIT","*","*","*","0%"
"2014","US Atlantic Coast","North Atlantic","PERMIT","*","*","*","0%"
"2013","US Atlantic Coast","North Atlantic","PERMIT","*","*","*","0%"
"2011","US Atlantic Coast","North Atlantic","PERMIT","*","*","*","0%"
"1986","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","3200","3200","5012","100%"
"1994","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","3042","12685.14","6043","<=75%"
"1978","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","6900","6900","6782","100%"
"1979","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","7400","7400","7451","100%"
"1969","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","43100","43100","9455","100%"
"1970","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","39600","39600","9608","100%"
"1962","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","34900","34900","10674","100%"
"1963","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","34100","34100","10704","100%"
"1968","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","44700","44700","11240","100%"
"1965","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","51237","51237","11856","100%"
"1964","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","48094","48094","12886","100%"
"1966","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","51700","51700","13209","100%"
"1967","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","54200","54200","13596","100%"
"1971","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","38500","38500","16204","100%"
"1985","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","8900","8900","16520","100%"
"1977","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","19500","19500","17767","100%"
"1984","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","18700","18700","28034","100%"
"1980","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","23400","23400","28090","100%"
"1973","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","27900","27900","28392","100%"
"1972","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","29700","29700","29952","100%"
"1975","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","32300","32300","31030","100%"
"1974","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","33900","33900","31515","100%"
"1976","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","38300","38300","35770","100%"
"1982","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","35400","35400","48850","100%"
"2004","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","19897.9","82555.99","52712","100%"
"1983","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","43100","43100","71087","100%"
"1981","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","81000","81000","111716","100%"
"1995","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","64633","269519.61","146153","100%"
"2005","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","58391","242514.7","188757","100%"
"1998","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","89710","374090.7","198920","100%"
"2001","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","388138","1618535.46","202207",">95%"
"2003","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","116047","483915.99","212031",">95%"
"1987","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","197700","197700","236754","100%"
"2000","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","114827","478828.59","247254","100%"
"2002","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","136171","567833.07","359664",">95%"
"1993","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","204361","204361","360248","100%"
"2006","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","172289.92","478965.34","374958.35","100%"
"1988","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","356400","356400","379571","100%"
"2007","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","189033.88","525514.27","391239.14",">95%"
"1992","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","329632","329632","546038","100%"
"1990","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","346953","346953","550119","100%"
"2019","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","206502.46","574076.7","600087.21",">95%"
"1991","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","360212","360212","606331","100%"
"2018","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","239181.83","664925.35","638594.37",">95%"
"2008","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","313036.6","870249.33","727861.08",">95%"
"2016","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","263465.73","732434.24","737871.76",">95%"
"2017","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","262172.01","728837.57","745475.194",">95%"
"2015","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","270079.69","751784.41","791153.62","100%"
"2014","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","298568.77","830211.92","796988.38","100%"
"2012","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","335116.27","931622.59","843441.09","100%"
"2013","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","348754.68","969538.42","898752.78",">95%"
"2011","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","353177.6","981832.97","901836.32",">95%"
"2009","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","445709.36","1239070.32","1018768.04",">95%"
"2010","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","446105.67","1240224.48","1187465.83",">95%"
"1989","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","917900","917900","1343318","100%"
"1999","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","*","*","*","0%"
"1997","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","*","*","*","0%"
"1996","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","*","*","*","0%"
"1961","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","33700","33700","*","100%"
"1960","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","32000","32000","*","100%"
"1959","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","34300","34300","*","100%"
"1958","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","30600","30600","*","100%"
"1957","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","19000","19000","*","100%"
"1956","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","26700","26700","*","100%"
"1955","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","8400","8400","*","100%"
"1954","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","8500","8500","*","100%"
"1953","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","10800","10800","*","100%"
"1952","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","4700","4700","*","100%"
"1951","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","3500","3500","*","100%"
"1950","US Atlantic Coast","North Atlantic","PERIWINKLES, ATLANTIC","3200","3200","*","100%"
"2019","US Atlantic Coast","North Atlantic","PERCH, YELLOW","9","9","6.57","100%"
"2009","US Atlantic Coast","North Atlantic","PERCH, YELLOW","53","53","31.8","100%"
"2012","US Atlantic Coast","North Atlantic","PERCH, YELLOW","158","158","77.45","<=75%"
"2010","US Atlantic Coast","North Atlantic","PERCH, YELLOW","191","191","147",">95%"
"2014","US Atlantic Coast","North Atlantic","PERCH, YELLOW","*","*","*","0%"
"2011","US Atlantic Coast","North Atlantic","PERCH, YELLOW","*","*","*","0%"
"1954","US Atlantic Coast","North Atlantic","PERCH, YELLOW","200","200","*","100%"
"1953","US Atlantic Coast","North Atlantic","PERCH, YELLOW","5300","5300","*","100%"
"1952","US Atlantic Coast","North Atlantic","PERCH, YELLOW","100","100","*","100%"
"1951","US Atlantic Coast","North Atlantic","PERCH, YELLOW","900","900","*","100%"
"1950","US Atlantic Coast","North Atlantic","PERCH, YELLOW","7900","7900","*","100%"
"2016","US Atlantic Coast","North Atlantic","PERCH, WHITE","1","1",".75","100%"
"2017","US Atlantic Coast","North Atlantic","PERCH, WHITE","78","78","129.75","<=75%"
"1994","US Atlantic Coast","North Atlantic","PERCH, WHITE","161","161","267","<=75%"
"2015","US Atlantic Coast","North Atlantic","PERCH, WHITE","1113","1113","861.9","100%"
"2012","US Atlantic Coast","North Atlantic","PERCH, WHITE","1910","1910","1979.15",">75-85%"
"2014","US Atlantic Coast","North Atlantic","PERCH, WHITE","1271","1271","2003.65",">95%"
"1968","US Atlantic Coast","North Atlantic","PERCH, WHITE","13200","13200","2228","100%"
"1996","US Atlantic Coast","North Atlantic","PERCH, WHITE","8892","8892","2386",">75-85%"
"1967","US Atlantic Coast","North Atlantic","PERCH, WHITE","12100","12100","2407","100%"
"1998","US Atlantic Coast","North Atlantic","PERCH, WHITE","10406","10406","3215",">85-95%"
"1966","US Atlantic Coast","North Atlantic","PERCH, WHITE","28200","28200","3801","100%"
"1997","US Atlantic Coast","North Atlantic","PERCH, WHITE","11429","11429","3856",">95%"
"1980","US Atlantic Coast","North Atlantic","PERCH, WHITE","13700","13700","3896","100%"
"1962","US Atlantic Coast","North Atlantic","PERCH, WHITE","36300","36300","5485","100%"
"2005","US Atlantic Coast","North Atlantic","PERCH, WHITE","4585","4585","5634",">95%"
"2011","US Atlantic Coast","North Atlantic","PERCH, WHITE","5554","5554","5804.19",">95%"
"1969","US Atlantic Coast","North Atlantic","PERCH, WHITE","35100","35100","5846","100%"
"1964","US Atlantic Coast","North Atlantic","PERCH, WHITE","43300","43300","5976","100%"
"1999","US Atlantic Coast","North Atlantic","PERCH, WHITE","5194","5194","6398",">85-95%"
"2003","US Atlantic Coast","North Atlantic","PERCH, WHITE","8518","8518","6782",">95%"
"1995","US Atlantic Coast","North Atlantic","PERCH, WHITE","11777","11777","6998",">95%"
"1965","US Atlantic Coast","North Atlantic","PERCH, WHITE","46500","46500","7342","100%"
"2002","US Atlantic Coast","North Atlantic","PERCH, WHITE","9501","9501","7472",">85-95%"
"1963","US Atlantic Coast","North Atlantic","PERCH, WHITE","78500","78500","8895","100%"
"2010","US Atlantic Coast","North Atlantic","PERCH, WHITE","9191","9191","9744.9",">95%"
"1970","US Atlantic Coast","North Atlantic","PERCH, WHITE","50900","50900","9770","100%"
"1993","US Atlantic Coast","North Atlantic","PERCH, WHITE","14628","14628","11250","100%"
"1981","US Atlantic Coast","North Atlantic","PERCH, WHITE","21800","21800","11263","100%"
"1978","US Atlantic Coast","North Atlantic","PERCH, WHITE","28500","28500","11575","100%"
"2004","US Atlantic Coast","North Atlantic","PERCH, WHITE","12927","12927","11609","100%"
"2001","US Atlantic Coast","North Atlantic","PERCH, WHITE","12507","12507","11960",">85-95%"
"1992","US Atlantic Coast","North Atlantic","PERCH, WHITE","12027","12027","12122","100%"
"2007","US Atlantic Coast","North Atlantic","PERCH, WHITE","10153","10153","12652.94","<=75%"
"2008","US Atlantic Coast","North Atlantic","PERCH, WHITE","8954","8954","13140.55",">95%"
"2013","US Atlantic Coast","North Atlantic","PERCH, WHITE","6037","6037","13706.3",">95%"
"1971","US Atlantic Coast","North Atlantic","PERCH, WHITE","63800","63800","13750","100%"
"2018","US Atlantic Coast","North Atlantic","PERCH, WHITE","10376","10376","14890.91","100%"
"2000","US Atlantic Coast","North Atlantic","PERCH, WHITE","14120","14120","15003","100%"
"1983","US Atlantic Coast","North Atlantic","PERCH, WHITE","31800","31800","15037","100%"
"2009","US Atlantic Coast","North Atlantic","PERCH, WHITE","13918","13918","16250.8",">95%"
"2019","US Atlantic Coast","North Atlantic","PERCH, WHITE","11761","11761","18079.67","100%"
"1979","US Atlantic Coast","North Atlantic","PERCH, WHITE","41700","41700","19205","100%"
"1977","US Atlantic Coast","North Atlantic","PERCH, WHITE","48000","48000","19742","100%"
"1982","US Atlantic Coast","North Atlantic","PERCH, WHITE","59800","59800","20407","100%"
"1991","US Atlantic Coast","North Atlantic","PERCH, WHITE","20545","20545","20437","100%"
"1972","US Atlantic Coast","North Atlantic","PERCH, WHITE","80400","80400","23073","100%"
"1976","US Atlantic Coast","North Atlantic","PERCH, WHITE","57800","57800","24614","100%"
"1986","US Atlantic Coast","North Atlantic","PERCH, WHITE","36900","36900","25526","100%"
"1973","US Atlantic Coast","North Atlantic","PERCH, WHITE","90700","90700","26745","100%"
"1984","US Atlantic Coast","North Atlantic","PERCH, WHITE","48000","48000","28241","100%"
"1975","US Atlantic Coast","North Atlantic","PERCH, WHITE","93100","93100","28753","100%"
"1989","US Atlantic Coast","North Atlantic","PERCH, WHITE","30200","30200","31301","100%"
"1985","US Atlantic Coast","North Atlantic","PERCH, WHITE","47100","47100","34469","100%"
"1974","US Atlantic Coast","North Atlantic","PERCH, WHITE","114800","114800","38141","100%"
"2006","US Atlantic Coast","North Atlantic","PERCH, WHITE","27990","27990","41246","100%"
"1987","US Atlantic Coast","North Atlantic","PERCH, WHITE","58200","58200","47656","100%"
"1990","US Atlantic Coast","North Atlantic","PERCH, WHITE","38585","38585","50178","100%"
"1988","US Atlantic Coast","North Atlantic","PERCH, WHITE","45800","45800","58649","100%"
"1961","US Atlantic Coast","North Atlantic","PERCH, WHITE","8000","8000","*","100%"
"1960","US Atlantic Coast","North Atlantic","PERCH, WHITE","3900","3900","*","100%"
"1959","US Atlantic Coast","North Atlantic","PERCH, WHITE","6100","6100","*","100%"
"1958","US Atlantic Coast","North Atlantic","PERCH, WHITE","1600","1600","*","100%"
"1957","US Atlantic Coast","North Atlantic","PERCH, WHITE","300","300","*","100%"
"1956","US Atlantic Coast","North Atlantic","PERCH, WHITE","2500","2500","*","100%"
"1955","US Atlantic Coast","North Atlantic","PERCH, WHITE","4100","4100","*","100%"
"1954","US Atlantic Coast","North Atlantic","PERCH, WHITE","7000","7000","*","100%"
"1953","US Atlantic Coast","North Atlantic","PERCH, WHITE","9200","9200","*","100%"
"1952","US Atlantic Coast","North Atlantic","PERCH, WHITE","13000","13000","*","100%"
"1951","US Atlantic Coast","North Atlantic","PERCH, WHITE","15200","15200","*","100%"
"1950","US Atlantic Coast","North Atlantic","PERCH, WHITE","28100","28100","*","100%"
"2009","US Atlantic Coast","North Atlantic","PERCH, SAND","*","*","*","0%"
"2001","US Atlantic Coast","North Atlantic","PERCH, SAND","*","*","*","0%"
"2005","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","27","112.59","230","100%"
"1994","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","360","1501.2","1351","100%"
"2010","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","535.96","2234.98","6479.5","100%"
"2006","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","736.57","3071.48","9567.7","100%"
"2004","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","1058","4411.86","10734","100%"
"2011","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","1576.96","6575.89","21682.9","100%"
"1993","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","6887","6887","25824","100%"
"1996","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","8961","37367.37","33644","100%"
"2001","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","6974","29081.58","35421","100%"
"1992","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","6494","6494","40383","100%"
"2012","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","3500.4","14596.71","46505.19","<=75%"
"2015","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","5551.34","23149.14","59128.8","100%"
"1997","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","16627","69334.59","61404","100%"
"2014","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","6384.24","26622.33","67366.8",">95%"
"2000","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","18320","76394.4","67966","100%"
"2013","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","8027.52","33474.82","87713.25",">75-85%"
"1999","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","26082","108761.94","103457","100%"
"2019","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","13720.79","57215.72","113131.95",">95%"
"2016","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","10962.19","45712.39","120877.5",">95%"
"1990","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","41305","41305","129675","100%"
"1998","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","34033","141917.61","130136","100%"
"2017","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","20416.59","85137.23","157063.39",">95%"
"1986","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","130600","130600","169361","100%"
"1987","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","211200","211200","176312","100%"
"2018","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","25672.06","107052.44","189342.79",">95%"
"1984","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","60000","60000","225000","100%"
"1988","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","342200","342200","225225","100%"
"1985","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","62000","62000","327980","100%"
"1991","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","127788","127788","400203","100%"
"1989","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","676100","676100","636845","100%"
"2009","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","*","*","*","0%"
"2008","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","*","*","*","0%"
"2007","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","*","*","*","0%"
"2003","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","*","*","*","0%"
"2002","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","*","*","*","0%"
"1995","US Atlantic Coast","North Atlantic","OYSTER, EDIBLE","*","*","*","0%"
"1972","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","129600","129600","292459","100%"
"1964","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","194390","194390","326178","100%"
"1969","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","151200","151200","356977","100%"
"1962","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","294100","294100","370801","100%"
"1971","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","191100","191100","388935","100%"
"1973","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","180700","180700","396455","100%"
"1970","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","191000","191000","401649","100%"
"1976","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","200900","200900","450368","100%"
"1968","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","195000","195000","455644","100%"
"1963","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","453000","453000","533034","100%"
"1965","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","341138","341138","652433","100%"
"1967","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","322800","322800","745375","100%"
"1966","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","408000","408000","848918","100%"
"1979","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","265500","265500","958121","100%"
"1975","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","600100","600100","1190268","100%"
"1974","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","644000","644000","1294659","100%"
"1977","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","905100","905100","2128636","100%"
"2003","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","279414","4213563.12","2273760",">75-85%"
"2002","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","288220","4346357.6","2569394",">85-95%"
"2004","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","262495.9","3957413.23","2991215",">95%"
"1978","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1129500","1129500","3254842","100%"
"1980","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","991000","991000","3589784","100%"
"1981","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1083100","1083100","3815450","100%"
"2001","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","493068","7435465.44","4196932","100%"
"2005","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","158210.42","2385776.31","4472704",">75-85%"
"1983","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1068200","1068200","4659756","100%"
"1987","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","656054","656054","4720632","100%"
"1985","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","953500","953500","4808576","100%"
"1982","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1126100","1126100","4814114","100%"
"2000","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","745131","11236575.48","5544577","100%"
"1997","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1771844","26719407.52","5867509","100%"
"1986","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","973700","973700","6962911","100%"
"1984","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1961700","1961700","8903175","100%"
"2008","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","224282.96","3375656.15","8936735.5254","100%"
"1988","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1223185","1223185","9447150","100%"
"1998","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1591891","24005716.28","9715719","100%"
"2009","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","250241.41","3770089.4","9906937.48","100%"
"1999","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","1425851","21501833.08","11687541","100%"
"2010","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","336700.38","5075398.25","12610718.8845","100%"
"2011","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","327496.96","4937964.74","12771524.3568","100%"
"2006","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","293273.17","4421660.6","12782823.66","100%"
"2007","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","436332.12","3840498.53","12860053.9653","100%"
"1989","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","2016500","2016500","15767900","100%"
"2012","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","470253.2","6155793.64","16560746.23","100%"
"2013","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","555468.12","6973525.18","20488452.38","100%"
"1995","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","3328206","50189346.48","23747649",">95%"
"1990","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","3268308","3268308","24580908","100%"
"1991","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","4244872","4244872","27334981","100%"
"2014","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","714945.56","9138661.89","27667207.16","100%"
"1996","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","4134769.04","62352317.12","29209382","100%"
"2015","US Atlantic Coast","North Atlantic","OYSTER, EASTERN","825945.71","10651936.47","32523032.6498","100%"
